#,Company,Symbol,Weight,Price,Chg,% Chg
489,Alaska Air Group Inc.,ALK,0.018351,57.09,0.38,(0.67%)
490,People's United Financial Inc.,PBCT,0.018083,16.46,0.15,(0.89%)
491,Hanesbrands Inc.,HBI,0.017102,18.63,-0.2,(-1.04%)
492,Leggett & Platt Incorporated,LEG,0.017017,48.19,-0.92,(-1.87%)
493,Vornado Realty Trust,VNO,0.016936,41.89,0.47,(1.12%)
494,Cabot Oil & Gas Corporation,COG,0.016378,15.88,0.14,(0.89%)
495,IPG Photonics Corporation,IPGP,0.016104,170.48,-1.52,(-0.88%)
496,Ralph Lauren Corporation Class A,RL,0.014703,115.88,-1.16,(-0.99%)
497,Gap Inc.,GPS,0.014333,26.67,-0.07,(-0.26%)
498,Unum Group,UNM,0.01407,26.62,0.11,(0.41%)
499,Perrigo Co. Plc,PRGO,0.014036,40.88,0.42,(1.03%)
500,Fox Corporation Class B,FOX,0.013743,34.69,0.37,(1.06%)
501,NOV Inc.,NOV,0.013433,13.19,-0.09,(-0.68%)
502,Under Armour Inc. Class A,UAA,0.011879,23.08,-1.05,(-4.33%)
503,Discovery Inc. Class A,DISCA,0.011738,28.78,0.93,(3.34%)
504,Under Armour Inc. Class C,UA,0.010653,20.02,-0.83,(-3.96%)
505,News Corporation Class B,NWS,0.007029,21.99,0.01,(0.05%)
